categoria,softwareId,id,nombre,telefono,web,primaryType,types,ciudad,direccion,rating,userRatingCount,googleMapsUri,createdAt
clinica-medica,atleevo,cmpczgstv00fgq1se0tplc0aa,SPACIO WELLNESS,983 26 86 75,http://spaciowellness.com/,wellness_center,wellness_center;medical_clinic;health;point_of_interest;establishment,Valladolid,"C. Torrecilla, 13, 47007 Valladolid",4.9,14,https://maps.google.com/?cid=14904369240573228653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:45:33.043Z
club-deportivo,atleevo,cmpczfhku00cdq1se3zukavhg,Grey Matter,744 66 73 24,,sports_club,sports_club;association_or_organization;point_of_interest;establishment,Córdoba,"Plaza del Dr. Emilio Luque, 1, Centro, 14003 Córdoba",5,32,https://maps.google.com/?cid=12199583421353380071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:31.806Z
consultor,atleevo,cmpcza78x007wq1sefqnek4rq,by Adriguti,662 07 43 60,https://byadriguti.com/dietista,consultant,consultant;service;point_of_interest;health;establishment,Las Palmas de Gran Canaria,"C. Lomo la Plana, 40, 35019, 35019 Las Palmas de Gran Canaria, Las Palmas",5,38,https://maps.google.com/?cid=9060327433878176892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:40:25.137Z
consultor,atleevo,cmpczcye7009kq1semzuoxsr0,DietingWell,622 81 28 28,https://www.dietingwell.es/,consultant,wellness_center;consultant;service;health;point_of_interest,Alicante,"Avinguda Goleta, 3, local 4, 03540 Alacant, Alicante",5,88,https://maps.google.com/?cid=7356029229886435911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:42:33.632Z
consultor,atleevo,cmpczi6k400imq1sepgu4mvj0,Eleven Up Sports,603 46 90 60,https://elevenupsports.com/,consultant,consultant;point_of_interest;service;establishment,Gijón,"C. Saavedra, 7, oficina 3, Centro, 33208 Gijón, Asturias",5,46,https://maps.google.com/?cid=3720997398658292347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:46:37.493Z
consultor,atleevo,cmpczhv0t00hdq1se6jig0tly,Ivanchenko Trainer,653 52 36 09,http://www.ivanchenkotrainer.com/,consultant,consultant;health;point_of_interest;service;establishment,Gijón,"Centro Deportivo Tíbet, C. Ana María, 27-29, Centro, 33209 Gijón, Asturias",4.9,124,https://maps.google.com/?cid=6827265440684926759&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:46:22.542Z
consultor,atleevo,cmpczl9u600p1q1se5y5aacj2,NATURVITIA ELCHE,622 32 53 12,http://www.naturvitia.es/,consultant,consultant;health;service;store;point_of_interest,Elche,"Passeig d'Atzavares, 32, 03208 Elx, Alicante",4.9,424,https://maps.google.com/?cid=4573012320523694143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:49:01.711Z
consultor,atleevo,cmpcymqbc00b2ih9u1z5igfui,RT Nutrition Zenter,634 81 18 34,https://rt-nutrition.com/,consultant,consultant;health;point_of_interest;service;establishment,Bilbao,"54 bis, Iparraguirre Kalea, Abando, 48009 Bilbao, Bizkaia",5,144,https://maps.google.com/?cid=15438138146969055761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:22:10.104Z
escuela-deportiva,atleevo,cmpcz3dk2002eq1se49ib7bye,Apta Vital Sport,963 95 00 76,https://aptavs.com/,sports_school,sports_school;point_of_interest;establishment,Valencia,"Avinguda de Campanar, 37, bajo, Campanar, 46009 València, Valencia",5,690,https://maps.google.com/?cid=9837593620969657351&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:35:06.723Z
escuela-formacion,atleevo,cmpczcrnw009eq1se4wk5d2yx,Academia El Temple,642 86 52 94,https://instagram.com/academiaeltemple?igshid=ZDdkNTZiNTM=,health,health;point_of_interest;service;establishment,Alicante,"Carrer Rigel, 29, 03007 Alacant, Alicante",5,68,https://maps.google.com/?cid=15600636179400225147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:42:24.908Z
